job_id,url,title,company,location,description,snippet,salary_min,salary_max,salary_text,job_type,work_model,department,company_size,qualifications,h1b_sponsored,is_new_grad,category,posted_date,scraped_at,source,raw_json
rec78hb5uRRrT8x6e,https://jobright.ai/jobs/info/68fa685e7959161d33e6304a?utm_source=1099&utm_campaign=Software%20Engineer,Cloud Developer Intern,Motion,"Birmingham, AL",,"1. Working on a BS degree in a computer related field (e.g. Computer Science, Engineering) 2. Working knowledge of software development languages (Java preferred) 3. Familiarity with cloud platforms and technologies (Google Cloud preferred) ...",,,,Internship,On Site,,,"1. Working on a BS degree in a computer related field (e.g. Computer Science, Engineering) 2. Working knowledge of software development languages (Java preferred) 3. Familiarity with cloud platforms and technologies (Google Cloud preferred) ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:37.832945,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'rec78hb5uRRrT8x6e', 'url': 'https://jobright.ai/jobs/info/68fa685e7959161d33e6304a?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Cloud Developer Intern', 'work_model': 'On Site', 'location': 'Birmingham, AL', 'company': 'Motion', 'qualifications': '1. Working on a BS degree in a computer related field (e.g. Computer Science, Engineering) 2. Working knowledge of software development languages (Java preferred) 3. Familiarity with cloud platforms and technologies (Google Cloud preferred) ...'}}"
recYZzthcLwMMYWo1,https://jobright.ai/jobs/info/68f2685faf0b5a06b584cf2f?utm_source=1099&utm_campaign=Software%20Engineer,"Software Engineer Intern, Software Delivery Excellence Alliance - Summer 2026",Pegasystems,"Waltham, MA",,"1. Currently pursuing or recently completed a Bachelor’s degree in Computer Science, Engineering, or a related field. 2. Strong interest in Cloud and DevOps technologies and eager to develop hands-on skills in this area. 3. Basic understanding or coursework experience with Linux, Kubernetes, Docker, Jenkins, GitHub Actions, or similar tools. ...",,,$32-$37 /hr,Internship,On Site,,,"1. Currently pursuing or recently completed a Bachelor’s degree in Computer Science, Engineering, or a related field. 2. Strong interest in Cloud and DevOps technologies and eager to develop hands-on skills in this area. 3. Basic understanding or coursework experience with Linux, Kubernetes, Docker, Jenkins, GitHub Actions, or similar tools. ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:37.952395,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recYZzthcLwMMYWo1', 'url': 'https://jobright.ai/jobs/info/68f2685faf0b5a06b584cf2f?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Software Engineer Intern, Software Delivery Excellence Alliance - Summer 2026', 'work_model': 'On Site', 'location': 'Waltham, MA', 'company': 'Pegasystems', 'salary': '$32-$37 /hr', 'qualifications': '1. Currently pursuing or recently completed a Bachelor’s degree in Computer Science, Engineering, or a related field. 2. Strong interest in Cloud and DevOps technologies and eager to develop hands-on skills in this area. 3. Basic understanding or coursework experience with Linux, Kubernetes, Docker, Jenkins, GitHub Actions, or similar tools. ...'}}"
recTsN3BuO2t6j0og,https://jobright.ai/jobs/info/68f281c39a63986de75686f9?utm_source=1099&utm_campaign=Software%20Engineer,Technology Architect Intern - Summer 2026,Pegasystems,"Waltham, MA",,"1. Currently pursuing a degree in Computer Science, Software Engineering, or a related field. 2. Interested in Cloud architecture (AWS, Azure, GCP) and full-stack engineering. 3. Familiar with or interested in learning about Pega’s architecture model. ...",,,$32-$37 /hr,Internship,On Site,,,"1. Currently pursuing a degree in Computer Science, Software Engineering, or a related field. 2. Interested in Cloud architecture (AWS, Azure, GCP) and full-stack engineering. 3. Familiar with or interested in learning about Pega’s architecture model. ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.070845,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recTsN3BuO2t6j0og', 'url': 'https://jobright.ai/jobs/info/68f281c39a63986de75686f9?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Technology Architect Intern - Summer 2026', 'work_model': 'On Site', 'location': 'Waltham, MA', 'company': 'Pegasystems', 'salary': '$32-$37 /hr', 'qualifications': '1. Currently pursuing a degree in Computer Science, Software Engineering, or a related field. 2. Interested in Cloud architecture (AWS, Azure, GCP) and full-stack engineering. 3. Familiar with or interested in learning about Pega’s architecture model. ...'}}"
rec0VMBs8einSvH1l,https://jobright.ai/jobs/info/68f2fbd49a63986de756da36?utm_source=1099&utm_campaign=Software%20Engineer,Information Technology (IT) Internship – Summer 2026,Qualcomm,"San Diego, CA",,"1. Currently enrolled in a bachelor’s or master’s degree program in Information Systems, Computer Science, Engineering, Information Technology, Project Management, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,$17-$98 /hr,Internship,On Site,,,"1. Currently enrolled in a bachelor’s or master’s degree program in Information Systems, Computer Science, Engineering, Information Technology, Project Management, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.181514,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'rec0VMBs8einSvH1l', 'url': 'https://jobright.ai/jobs/info/68f2fbd49a63986de756da36?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Information Technology (IT) Internship – Summer 2026', 'work_model': 'On Site', 'location': 'San Diego, CA', 'company': 'Qualcomm', 'salary': '$17-$98 /hr', 'qualifications': '1. Currently enrolled in a bachelor’s or master’s degree program in Information Systems, Computer Science, Engineering, Information Technology, Project Management, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...'}}"
recoOJdqBYTJHqIY8,https://jobright.ai/jobs/info/68f300089a65fd3458582a99?utm_source=1099&utm_campaign=Software%20Engineer,IT Infrastructure & Cloud Engineering Internship – Summer 2026,Qualcomm,"San Diego, CA",,"1. Currently enrolled in a bachelor’s or master’s degree program in Computer Science, Engineering, Information Technology, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,$17-$98 /hr,Internship,On Site,,,"1. Currently enrolled in a bachelor’s or master’s degree program in Computer Science, Engineering, Information Technology, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.298943,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recoOJdqBYTJHqIY8', 'url': 'https://jobright.ai/jobs/info/68f300089a65fd3458582a99?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'IT Infrastructure & Cloud Engineering Internship – Summer 2026', 'work_model': 'On Site', 'location': 'San Diego, CA', 'company': 'Qualcomm', 'salary': '$17-$98 /hr', 'qualifications': '1. Currently enrolled in a bachelor’s or master’s degree program in Computer Science, Engineering, Information Technology, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...'}}"
reckOsKwZYGunz14F,https://jobright.ai/jobs/info/68f3004c9a65fd3458582add?utm_source=1099&utm_campaign=Software%20Engineer,Multimedia Engineering Internship – Summer 2026,Qualcomm,"Multi Location Santa Clara, CA San Diego, CA",,"1. Currently enrolled in a bachelor’s, master’s, or Ph.D. degree program in computer engineering, computer science, electrical engineering, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,$17-$98 /hr,Internship,On Site,,,"1. Currently enrolled in a bachelor’s, master’s, or Ph.D. degree program in computer engineering, computer science, electrical engineering, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.418428,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'reckOsKwZYGunz14F', 'url': 'https://jobright.ai/jobs/info/68f3004c9a65fd3458582add?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Multimedia Engineering Internship – Summer 2026', 'work_model': 'On Site', 'location': 'Multi Location Santa Clara, CA San Diego, CA', 'company': 'Qualcomm', 'salary': '$17-$98 /hr', 'qualifications': '1. Currently enrolled in a bachelor’s, master’s, or Ph.D. degree program in computer engineering, computer science, electrical engineering, or a related field 2. Must be available for 11–14 weeks during Summer 2026 (May–September) 3. Expected graduation date of November 2026 or later ...'}}"
rec7pv50E31y7TAIv,https://jobright.ai/jobs/info/691fe2e009cc522e87746558?utm_source=1099&utm_campaign=Software%20Engineer,"Software Developer Intern – Summer 2026 – Onsite in Dallas, TX",Conifer Health Solutions,"Frisco, TX",,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field. 2. Familiarity with object-oriented programming (OOP) concepts. 3. Understanding of database concepts and exposure to SQL. ...",,,,Internship,On Site,,,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field. 2. Familiarity with object-oriented programming (OOP) concepts. 3. Understanding of database concepts and exposure to SQL. ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.536834,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'rec7pv50E31y7TAIv', 'url': 'https://jobright.ai/jobs/info/691fe2e009cc522e87746558?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Software Developer Intern – Summer 2026 – Onsite in Dallas, TX', 'work_model': 'On Site', 'location': 'Frisco, TX', 'company': 'Conifer Health Solutions', 'qualifications': ""1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field. 2. Familiarity with object-oriented programming (OOP) concepts. 3. Understanding of database concepts and exposure to SQL. ...""}}"
recFhYK4911cEoTZa,https://jobright.ai/jobs/info/68f80461ec6dbe7073fd04ad?utm_source=1099&utm_campaign=Software%20Engineer,Advanced Degree Software Engineer Intern - Fusion,Oracle,"Multi Location Pleasanton, CA Redwood City, CA Santa Clara, CA United States",,1. Must be enrolled in a Master's degree program in Computer Science or an equivalent science/engineering field during the 2025-2026 school year. 2. Must be enrolled in a university prior to and following internship completion. 3. Able to obtain work authorization in the US in 2026. ...,,,$19-$53 /hr,Internship,On Site,,,1. Must be enrolled in a Master's degree program in Computer Science or an equivalent science/engineering field during the 2025-2026 school year. 2. Must be enrolled in a university prior to and following internship completion. 3. Able to obtain work authorization in the US in 2026. ...,,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.649905,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recFhYK4911cEoTZa', 'url': 'https://jobright.ai/jobs/info/68f80461ec6dbe7073fd04ad?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Advanced Degree Software Engineer Intern - Fusion', 'work_model': 'On Site', 'location': 'Multi Location Pleasanton, CA Redwood City, CA Santa Clara, CA United States', 'company': 'Oracle', 'salary': '$19-$53 /hr', 'qualifications': ""1. Must be enrolled in a Master's degree program in Computer Science or an equivalent science/engineering field during the 2025-2026 school year. 2. Must be enrolled in a university prior to and following internship completion. 3. Able to obtain work authorization in the US in 2026. ...""}}"
recrkbRB7T3dbhOYR,https://jobright.ai/jobs/info/690f4dab221b890c278150a8?utm_source=1099&utm_campaign=Software%20Engineer,"IT Intern: Development - Kimball International, Jasper, IN","Building Material
Furniture","Multi Location Jasper, IN Jasper, IN, 47546, United States",,"1. Currently pursuing a bachelor’s degree in Computer Science, Software Engineering, or related field 2. Basic understanding of programming languages such as C#, Python, or JavaScript 3. Familiarity with software development lifecycle and methodologies ...",,,Kimball International,Internship,On Site,,,"1. Currently pursuing a bachelor’s degree in Computer Science, Software Engineering, or related field 2. Basic understanding of programming languages such as C#, Python, or JavaScript 3. Familiarity with software development lifecycle and methodologies ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.772072,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recrkbRB7T3dbhOYR', 'url': 'https://jobright.ai/jobs/info/690f4dab221b890c278150a8?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'IT Intern: Development - Kimball International, Jasper, IN', 'work_model': 'On Site', 'location': 'Multi Location Jasper, IN Jasper, IN, 47546, United States', 'salary': 'Kimball International', 'company': 'Building Material\nFurniture', 'qualifications': '1. Currently pursuing a bachelor’s degree in Computer Science, Software Engineering, or related field 2. Basic understanding of programming languages such as C#, Python, or JavaScript 3. Familiarity with software development lifecycle and methodologies ...'}}"
reczWxYWjRZUVCh2Z,https://jobright.ai/jobs/info/690ff324bb519377733e9fa6?utm_source=1099&utm_campaign=Software%20Engineer,Firmware & C++ Development Intern,Zoox,"San Diego, CA",,"1. Currently working towards a B.S., M.S., Ph.D., or advanced degree in a relevant engineering program 2. Must be returning to school to continue your education upon completing this internship 3. Good academic standing ...",,,$5500-$9500 /mon,Internship,On Site,,,"1. Currently working towards a B.S., M.S., Ph.D., or advanced degree in a relevant engineering program 2. Must be returning to school to continue your education upon completing this internship 3. Good academic standing ...",,,Software_Engineering,2025-11-30,2025-12-01T20:01:38.882322,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'reczWxYWjRZUVCh2Z', 'url': 'https://jobright.ai/jobs/info/690ff324bb519377733e9fa6?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-11-30', 'title': 'Firmware & C++ Development Intern', 'work_model': 'On Site', 'location': 'San Diego, CA', 'company': 'Zoox', 'salary': '$5500-$9500 /mon', 'qualifications': '1. Currently working towards a B.S., M.S., Ph.D., or advanced degree in a relevant engineering program 2. Must be returning to school to continue your education upon completing this internship 3. Good academic standing ...'}}"
